#           x           U_x           U_y           U_z
            0             0             0             0
        0.025   -0.00122534     0.0319452             0
         0.05   -0.00685789     0.0532281             0
        0.075    -0.0124905     0.0745109             0
          0.1     -0.020875     0.0876236             0
        0.125    -0.0292595      0.100736             0
         0.15    -0.0390611      0.107057             0
        0.175    -0.0488628      0.113377             0
          0.2    -0.0590795       0.11445             0
        0.225    -0.0690521      0.115932             0
         0.25    -0.0791467      0.113415             0
        0.275     -0.088614       0.11113             0
          0.3    -0.0983208      0.105869             0
        0.325     -0.106917       0.10073             0
         0.35     -0.116085       0.09314             0
        0.375     -0.123595     0.0856536             0
          0.4     -0.132086     0.0758542             0
        0.425     -0.138346     0.0662427             0
         0.45     -0.145961     0.0542059             0
        0.475     -0.150786     0.0425449             0
          0.5     -0.157209     0.0282386             0
        0.525     -0.306357     0.0711123             0
         0.55     -0.165112   -0.00186426             0
        0.575     -0.166249    -0.0173157             0
          0.6     -0.168668    -0.0354497             0
        0.625     -0.167355    -0.0522401             0
         0.65     -0.166591    -0.0710016             0
        0.675     -0.162304    -0.0882031             0
          0.7      -0.15742     -0.105678             0
        0.725     -0.149621     -0.121682             0
         0.75     -0.139861      -0.13487             0
        0.775     -0.128197     -0.147204             0
          0.8     -0.113484      -0.15207             0
        0.825    -0.0981356     -0.157387             0
         0.85    -0.0799309     -0.149653             0
        0.875    -0.0622419     -0.144203             0
          0.9    -0.0436932     -0.121448             0
        0.925    -0.0261967     -0.102497             0
         0.95    -0.0149142    -0.0703746             0
        0.975   -0.00427404    -0.0415592             0
            1             0             0             0
