#           y           U_x           U_y           U_z
            0             0             0             0
        0.025    -0.0132049   0.000122331             0
         0.05    -0.0232396   0.000272761             0
        0.075    -0.0332743    0.00042319             0
          0.1    -0.0416066   0.000698754             0
        0.125     -0.049939   0.000974318             0
         0.15    -0.0572309    0.00132075             0
        0.175    -0.0645228    0.00166718             0
          0.2    -0.0714131    0.00219049             0
        0.225    -0.0783033     0.0027138             0
         0.25    -0.0852565     0.0035464             0
        0.275    -0.0922097    0.00437901             0
          0.3    -0.0994781    0.00568974             0
        0.325     -0.106746    0.00700048             0
         0.35     -0.114316     0.0089713             0
        0.375     -0.121886     0.0109421             0
          0.4     -0.129424     0.0137367             0
        0.425     -0.136962     0.0165314             0
         0.45     -0.143771     0.0202472             0
        0.475      -0.15058      0.023963             0
          0.5     -0.155571     0.0285674             0
        0.525     -0.306151     0.0525304             0
         0.55     -0.162278     0.0384341             0
        0.575     -0.163993     0.0436964             0
          0.6     -0.160648     0.0491247             0
        0.625     -0.157303     0.0545531             0
         0.65     -0.146815     0.0593582             0
        0.675     -0.136327     0.0641634             0
          0.7     -0.116193     0.0672744             0
        0.725    -0.0960595     0.0703854             0
         0.75    -0.0628354     0.0705628             0
        0.775    -0.0296112     0.0707402             0
          0.8     0.0222596     0.0669032             0
        0.825     0.0741304     0.0630662             0
         0.85      0.153949     0.0541732             0
        0.875      0.233768     0.0452803             0
          0.9      0.349094     0.0345397             0
        0.925      0.464419     0.0237992             0
         0.95      0.629193     0.0149054             0
        0.975      0.793967    0.00601174             0
            1             1             0             0
